epoch,acc,char_acc,len_acc,loss,top3_acc,val_acc,val_char_acc,val_len_acc,val_loss,val_top3_acc
0,0.6009615659713745,0.8757212162017822,0.8125,0.6758764386177063,0.9490385055541992,0.5078125,0.74609375,0.578125,0.7691586017608643,0.903124988079071
1,0.7115384340286255,0.9341345429420471,0.9447115659713745,0.3850262463092804,0.9757211208343506,0.5625,0.8539062738418579,0.6640625,0.5784124135971069,0.9390624761581421
2,0.71875,0.9331731200218201,0.9230769276618958,0.34299468994140625,0.9786058068275452,0.5859375,0.8734375238418579,0.6640625,0.4565359354019165,0.9765625
3,0.7355769276618958,0.9394230246543884,0.9038461446762085,0.30833518505096436,0.9850960969924927,0.6171875,0.913281261920929,0.9296875,0.37574926018714905,0.9828125238418579
4,0.8004807829856873,0.957932710647583,0.942307710647583,0.2755845785140991,0.985576868057251,0.640625,0.921093761920929,0.953125,0.34083643555641174,0.985156238079071
5,0.8125,0.9694712162017822,0.9495192170143127,0.22784850001335144,0.9915865659713745,0.65625,0.926562488079071,0.9765625,0.3155742585659027,0.985156238079071
6,0.8533653616905212,0.9713941812515259,0.9759615659713745,0.20016998052597046,0.9930287599563599,0.6640625,0.926562488079071,0.96875,0.29498669505119324,0.9867187738418579
7,0.8461538553237915,0.9706730246543884,0.9711538553237915,0.21012042462825775,0.992067277431488,0.671875,0.928906261920929,0.9765625,0.2757164537906647,0.9906249642372131
8,0.8413461446762085,0.9733173847198486,0.9663461446762085,0.19896556437015533,0.9925479888916016,0.6796875,0.9554687738418579,0.9765625,0.26054656505584717,0.9898437261581421
9,0.8413461446762085,0.9701922535896301,0.9615384340286255,0.20527170598506927,0.992788553237915,0.9453125,0.9812500476837158,0.9765625,0.2513572573661804,0.9898437261581421
10,0.8365384340286255,0.9725961685180664,0.963942289352417,0.19832594692707062,0.9944711327552795,0.9453125,0.9828125238418579,0.9765625,0.24077753722667694,0.9898437261581421
11,0.838942289352417,0.971634566783905,0.9663461446762085,0.19201746582984924,0.9951922297477722,0.953125,0.984375,0.9765625,0.23207123577594757,0.9898437261581421
12,0.8822115659713745,0.9790865778923035,0.973557710647583,0.17624782025814056,0.9949519038200378,0.953125,0.984375,0.9765625,0.22697946429252625,0.9898437261581421
13,0.879807710647583,0.9790865182876587,0.9663461446762085,0.1759592592716217,0.9956730604171753,0.953125,0.984375,0.9765625,0.22410935163497925,0.989062488079071
14,0.901442289352417,0.9822115302085876,0.9807692170143127,0.17374204099178314,0.9961538314819336,0.953125,0.984375,0.9765625,0.22196586430072784,0.9898437261581421
15,0.8822115659713745,0.9774037599563599,0.973557710647583,0.1792868822813034,0.9959134459495544,0.953125,0.984375,0.9765625,0.21900442242622375,0.9898437261581421
16,0.901442289352417,0.9817308187484741,0.9759615659713745,0.1652204990386963,0.9968750476837158,0.953125,0.984375,0.9765625,0.21716567873954773,0.9906249642372131
17,0.9230769276618958,0.9846153855323792,0.9807692170143127,0.15943631529808044,0.9975961446762085,0.953125,0.984375,0.9765625,0.21712301671504974,0.9906249642372131
18,0.9038461446762085,0.9834133982658386,0.9759615659713745,0.1617092490196228,0.9966345429420471,0.953125,0.984375,0.9765625,0.2174677848815918,0.989062488079071
19,0.8942307829856873,0.9798076152801514,0.9831730723381042,0.16222040355205536,0.9973556995391846,0.703125,0.9593750238418579,0.9765625,0.21662452816963196,0.9898437261581421
20,0.9206730723381042,0.9841346144676208,0.9807692170143127,0.1559188961982727,0.9975961446762085,0.703125,0.9593750238418579,0.9765625,0.21589766442775726,0.98828125
21,0.9350961446762085,0.9882212281227112,0.9927884340286255,0.1504109501838684,0.9975960850715637,0.703125,0.9593750238418579,0.9765625,0.21379035711288452,0.989062488079071
22,0.9038461446762085,0.9810096025466919,0.9711538553237915,0.1518278867006302,0.9966345429420471,0.703125,0.9593750238418579,0.9765625,0.21134904026985168,0.989062488079071
23,0.9375,0.9908653497695923,0.9855769276618958,0.1448354870080948,0.9987980127334595,0.703125,0.9601562023162842,0.9765625,0.20970797538757324,0.989062488079071
24,0.9158653616905212,0.9877404570579529,0.9855769276618958,0.1522679328918457,0.9978365302085876,0.703125,0.9601562023162842,0.9765625,0.20840013027191162,0.989062488079071
25,0.9350961446762085,0.9896634221076965,0.9927884340286255,0.14223463833332062,0.998317301273346,0.703125,0.9601562023162842,0.9765625,0.20734065771102905,0.989062488079071
26,0.932692289352417,0.9882211089134216,0.9855769276618958,0.14809276163578033,0.998076856136322,0.703125,0.9601562023162842,0.9765625,0.2064470648765564,0.989062488079071
27,0.9182692170143127,0.9882212281227112,0.9903846383094788,0.14072738587856293,0.9985576868057251,0.703125,0.9601562023162842,0.9765625,0.20570817589759827,0.989062488079071
28,0.9230769276618958,0.9879807233810425,0.9831730723381042,0.14512881636619568,0.998317301273346,0.703125,0.9601562023162842,0.9765625,0.2050902396440506,0.989062488079071
29,0.911057710647583,0.986298143863678,0.9903846383094788,0.14683844149112701,0.9985576272010803,0.703125,0.9601562023162842,0.9765625,0.20458023250102997,0.989062488079071
