epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3375.29,1.07983,1.05157,0.01614,0.87072,0.78369,0.84103,0.62138,1.08873,0.69438,0.01892,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3482.64,1.06981,1.04039,0.01591,0.82971,0.74113,0.80828,0.59512,1.11351,0.77959,0.01985,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3591.72,1.06717,1.04716,0.01579,0.8867,0.76773,0.84227,0.63249,0.99238,0.70806,0.01698,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3700.04,1.07058,1.02115,0.01561,0.87649,0.81028,0.84715,0.64575,1.00633,0.68975,0.0178,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3808.15,1.05518,1.01569,0.01566,0.89738,0.77305,0.87717,0.66046,1.02728,0.64793,0.0174,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3919.65,1.05081,1.01664,0.01569,0.88367,0.79255,0.86327,0.66284,0.94729,0.71544,0.01633,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4030.56,1.04841,1.00538,0.01551,0.87496,0.80496,0.86606,0.66473,1.01044,0.64793,0.01748,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4140.61,1.04071,0.99916,0.01503,0.87302,0.79433,0.85745,0.6457,1.0177,0.65386,0.01757,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4253.18,1.04605,1.00562,0.01536,0.83528,0.81738,0.86621,0.66456,0.97573,0.67054,0.01647,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4373.51,1.03823,0.99412,0.01509,0.88496,0.81028,0.87351,0.67797,0.94126,0.64513,0.01642,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4492,1.03144,0.98938,0.01517,0.88489,0.84043,0.87729,0.66704,0.97646,0.60505,0.0168,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4616.43,1.01813,0.96485,0.01476,0.88285,0.8156,0.88333,0.69204,0.94685,0.60858,0.01596,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4748.85,1.02761,0.95925,0.01511,0.86454,0.84867,0.88741,0.6864,0.94248,0.62913,0.01631,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4880.11,1.00846,0.95456,0.0147,0.88484,0.83156,0.88953,0.68106,0.93567,0.59612,0.01629,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5013.86,1.00435,0.95409,0.01466,0.89501,0.81623,0.87283,0.66095,0.95637,0.6445,0.01638,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5136.51,0.99884,0.94903,0.01459,0.84454,0.83798,0.85865,0.65727,0.96511,0.63243,0.01671,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5268.45,0.98995,0.95078,0.01473,0.92333,0.78723,0.87103,0.68446,0.90008,0.62436,0.01598,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5400.28,0.9904,0.93737,0.01447,0.89668,0.82801,0.876,0.67915,0.94157,0.61156,0.01649,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5510.15,0.98816,0.94252,0.01455,0.86844,0.84574,0.87426,0.67093,0.93269,0.60788,0.01631,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5618.6,0.982,0.92703,0.01428,0.85999,0.83859,0.87187,0.65648,0.95083,0.61384,0.01689,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5738.34,0.97762,0.90828,0.01421,0.8837,0.80837,0.86364,0.65537,0.94388,0.65143,0.01703,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5859.75,0.96345,0.90228,0.0138,0.87198,0.84538,0.88053,0.6679,0.91635,0.62063,0.0158,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5981.83,0.96948,0.92336,0.01393,0.87961,0.84202,0.88243,0.67725,0.90681,0.62036,0.01578,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6112.1,0.95464,0.90741,0.01386,0.90276,0.82301,0.88302,0.68986,0.92656,0.60843,0.01618,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6240.48,0.95627,0.89389,0.01392,0.90183,0.82447,0.88665,0.69388,0.89071,0.6076,0.01589,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,120.346,0.94378,0.87882,0.01368,0.88817,0.83865,0.87978,0.67705,0.9099,0.60029,0.01588,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,227.41,0.93657,0.87762,0.01346,0.91617,0.81384,0.88378,0.6895,0.91396,0.64102,0.01613,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,338.614,0.92564,0.87254,0.01346,0.9007,0.84752,0.89057,0.70038,0.90358,0.57325,0.01593,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,461.01,0.93084,0.89133,0.01343,0.86808,0.84929,0.88625,0.70099,0.91283,0.58091,0.01595,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,587.023,0.91659,0.88648,0.01318,0.88311,0.83333,0.87932,0.7001,0.88339,0.60208,0.0157,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,703.2,0.92434,0.87336,0.0133,0.89766,0.82426,0.87489,0.68993,0.90357,0.62198,0.01606,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,808.934,0.92482,0.87741,0.01343,0.88841,0.83865,0.87565,0.69508,0.88939,0.61045,0.01577,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,914.908,0.91434,0.8555,0.01308,0.89743,0.81383,0.87166,0.6937,0.90564,0.60051,0.01624,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,1020.77,0.90465,0.8657,0.01311,0.88499,0.81383,0.87018,0.69446,0.90695,0.61279,0.01621,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,1125.75,0.90751,0.8339,0.01302,0.89337,0.83156,0.8717,0.68653,0.93671,0.60589,0.01705,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1231.1,0.89473,0.84591,0.013,0.89286,0.84929,0.87699,0.69433,0.89937,0.59915,0.0162,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,1335.59,0.89009,0.82621,0.01275,0.90127,0.83688,0.87661,0.69014,0.90868,0.60992,0.01634,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,1440.91,0.90005,0.84548,0.0128,0.91966,0.83511,0.8816,0.70391,0.88052,0.58841,0.01578,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,1545.77,0.87724,0.8091,0.01256,0.89784,0.84574,0.87944,0.69427,0.88925,0.61779,0.01606,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,1651.08,0.8786,0.81351,0.01267,0.88859,0.85993,0.88358,0.70424,0.8849,0.5907,0.01593,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,1756.01,0.8726,0.80656,0.01242,0.8972,0.85816,0.89034,0.71369,0.86557,0.58016,0.01525,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,1861.06,0.86765,0.79419,0.01217,0.88559,0.85638,0.8795,0.70203,0.8711,0.61001,0.0152,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,1965.74,0.85762,0.81463,0.01246,0.89287,0.84929,0.88144,0.70395,0.87282,0.60159,0.01525,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2071.2,0.85529,0.78614,0.01216,0.89554,0.84574,0.88319,0.70117,0.87961,0.59107,0.01537,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,2176.19,0.85356,0.80708,0.01221,0.90999,0.84252,0.88572,0.69511,0.88723,0.60081,0.01555,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
